id,img_path,mask_path,label_raw,label_bin,frameID,primary_date,secondary_date,subset
11349_3,InSAR_img/11349_3.png,,0,0,014A_07688_131313,20181003,20181015,train
13333_0,InSAR_img/13333_0.png,mask/13333_0.png,1,1,083D_12636_131313,20190430,20191009,test
4582_51,InSAR_img/4582_51.png,,0,0,152D_09114_131313,20191219,20200124,test
12250_14,InSAR_img/12250_14.png,,0,0,081A_12881_141414,20191108,20191226,test
1866,InSAR_img/1866.png,mask/1866.png,1,1,124D_05291_081406,20190813,20190825,train
11681_5,InSAR_img/11681_5.png,,0,0,079D_07694_131313,20171031,20171230,train
11967_4,InSAR_img/11967_4.png,,0,0,081A_12881_141414,20150316,20150409,train
19230_8,InSAR_img/19230_8.png,,0,0,083D_12440_131313,20200816,20200828,train
6904_4,InSAR_img/6904_4.png,,0,0,087D_07004_060904,20201009,20201015,train
7097,InSAR_img/7097.png,mask/7097.png,2,1,087D_07004_060904,20210829,20210928,train
13936_12,InSAR_img/13936_12.png,,0,0,146D_12613_231107,20200609,20210312,train
4567_51,InSAR_img/4567_51.png,,0,0,152D_09114_131313,20191101,20191219,train
18398_2,InSAR_img/18398_2.png,,0,0,162A_06192_060402,20200920,20200926,train
6652_6,InSAR_img/6652_6.png,,0,0,087D_07004_060904,20191102,20191120,train
1966,InSAR_img/1966.png,mask/1966.png,1,1,124D_05291_081406,20200122,20200209,train
9170,InSAR_img/9170.png,mask/9170.png,6,1,144A_SM_REUN_S6,20190209,20190305,train
17400_0,InSAR_img/17400_0.png,,0,0,162A_06192_060402,20151023,20151104,train
852,InSAR_img/852.png,mask/852.png,1,1,128D_09016_110500,20170928,20180315,train
3143_4,InSAR_img/3143_4.png,,0,0,174A_09133_131313,20170110,20170203,train
506_4,InSAR_img/506_4.png,,0,0,049A_07091_051113,20191130,20191230,train
4621_99,InSAR_img/4621_99.png,,0,0,152D_09114_131313,20200417,20200604,test
19715_6,InSAR_img/19715_6.png,,0,0,152D_08915_131313,20210611,20210717,train
16956,InSAR_img/16956.png,mask/16956.png,3,1,106A_09090_000404,20181016,20181022,test
8908,InSAR_img/8908.png,mask/8908.png,2,1,144A_SM_REUN_S6,20150706,20150811,train
3068_5,InSAR_img/3068_5.png,,0,0,174A_09133_131313,20150121,20150427,train
11155_6,InSAR_img/11155_6.png,,0,0,076D_09725_121107,20200815,20200827,train
7909_0,InSAR_img/7909_0.png,,0,0,142A_07606_131313,20180415,20180509,train
9414,InSAR_img/9414.png,mask/9414.png,3,1,151D_SM_REUN_S4,20170515,20170620,test
7188_8,InSAR_img/7188_8.png,,0,0,032D_07536_111313,20151213,20160130,train
13293_0,InSAR_img/13293_0.png,,0,0,083D_12636_131313,20190313,20190325,test
18570_1,InSAR_img/18570_1.png,,0,0,162A_06192_060402,20210518,20210611,test
650,InSAR_img/650.png,mask/650.png,3,1,128D_09016_110500,20151208,20160206,train
8988_0,InSAR_img/8988_0.png,mask/8988_0.png,2,1,144A_SM_REUN_S6,20170114,20170219,train
19420_4,InSAR_img/19420_4.png,,0,0,152D_08915_131313,20170214,20170304,train
16833,InSAR_img/16833.png,mask/16833.png,3,1,106A_09090_000404,20170729,20170810,train
645,InSAR_img/645.png,mask/645.png,3,1,128D_09016_110500,20151126,20160113,train
3664_4,InSAR_img/3664_4.png,,0,0,174A_09133_131313,20200325,20200331,test
1864_3,InSAR_img/1864_3.png,,0,0,124D_05291_081406,20190807,20190825,train
16846,InSAR_img/16846.png,mask/16846.png,3,1,106A_09090_000404,20170915,20171021,train
13219_8,InSAR_img/13219_8.png,,0,0,083D_12636_131313,20181020,20181125,train
16879,InSAR_img/16879.png,mask/16879.png,3,1,106A_09090_000404,20180206,20180302,test
9148_5,InSAR_img/9148_5.png,,0,0,144A_SM_REUN_S6,20181117,20181129,train
16581_1,InSAR_img/16581_1.png,,0,0,109D_05390_141615,20180928,20181004,train
16572_4,InSAR_img/16572_4.png,,0,0,109D_05390_141615,20180407,20180501,train
17501_4,InSAR_img/17501_4.png,,0,0,162A_06192_060402,20160923,20161005,test
6180_0,InSAR_img/6180_0.png,mask/6180_0.png,2,1,087D_07004_060904,20180523,20180604,train
4590_15,InSAR_img/4590_15.png,,0,0,152D_09114_131313,20200112,20200217,train
7092,InSAR_img/7092.png,mask/7092.png,2,1,087D_07004_060904,20210823,20210910,train
16594_11,InSAR_img/16594_11.png,,0,0,109D_05390_141615,20181103,20181115,train
13170,InSAR_img/13170.png,mask/13170.png,1,1,083D_12636_131313,20180517,20181101,train
4575_97,InSAR_img/4575_97.png,,0,0,152D_09114_131313,20191125,20200112,train
10523_5,InSAR_img/10523_5.png,,0,0,155D_02579_100800,20201225,20210112,train
3834_68,InSAR_img/3834_68.png,,0,0,174A_09133_131313,20201208,20210101,train
16841,InSAR_img/16841.png,mask/16841.png,3,1,106A_09090_000404,20170822,20171009,train
15794,InSAR_img/15794.png,mask/15794.png,4,1,124D_04854_171313,20180315,20180917,train
12015_1,InSAR_img/12015_1.png,,0,0,081A_12881_141414,20161217,20161223,train
16482_1,InSAR_img/16482_1.png,,0,0,109D_05390_141615,20170406,20170412,train
6464_0,InSAR_img/6464_0.png,mask/6464_0.png,1,1,087D_07004_060904,20190331,20190611,train
16914,InSAR_img/16914.png,mask/16914.png,1,1,106A_09090_000404,20180712,20180718,train
4541_72,InSAR_img/4541_72.png,,0,0,152D_09114_131313,20170214,20171006,test
3852_48,InSAR_img/3852_48.png,,0,0,174A_09133_131313,20210107,20210119,train
16864,InSAR_img/16864.png,mask/16864.png,3,1,106A_09090_000404,20171208,20180101,train
13121_9,InSAR_img/13121_9.png,,0,0,083D_12636_131313,20180129,20180306,train
8902,InSAR_img/8902.png,mask/8902.png,2,1,144A_SM_REUN_S6,20150507,20150624,test
694,InSAR_img/694.png,mask/694.png,3,1,128D_09016_110500,20160418,20160524,test
1044,InSAR_img/1044.png,mask/1044.png,3,1,128D_09016_110500,20190322,20190409,train
3878_2,InSAR_img/3878_2.png,,0,0,174A_09133_131313,20210212,20210308,train
15384_11,InSAR_img/15384_11.png,,0,0,115D_04601_131313,20190613,20190625,train
9328,InSAR_img/9328.png,mask/9328.png,6,1,151D_SM_REUN_S4,20150812,20151116,train
10727_3,InSAR_img/10727_3.png,,0,0,155D_02579_100800,20211015,20211102,train
4592_57,InSAR_img/4592_57.png,,0,0,152D_09114_131313,20200124,20200205,train
10342_4,InSAR_img/10342_4.png,,0,0,155D_02579_100800,20200423,20200429,train
12413_8,InSAR_img/12413_8.png,,0,0,005A_07021_131313,20191004,20191016,train
12058_9,InSAR_img/12058_9.png,,0,0,081A_12881_141414,20171001,20171013,train
19591_7,InSAR_img/19591_7.png,,0,0,152D_08915_131313,20191207,20200112,train
12004_18,InSAR_img/12004_18.png,,0,0,081A_12881_141414,20161117,20161129,train
14573_7,InSAR_img/14573_7.png,,0,0,164A_13146_131313,20200130,20200318,train
12338_7,InSAR_img/12338_7.png,,0,0,081A_12881_141414,20210218,20210314,train
11857_8,InSAR_img/11857_8.png,,0,0,079D_07694_131313,20200125,20200218,test
7216_8,InSAR_img/7216_8.png,,0,0,032D_07536_111313,20160411,20160529,test
4669_34,InSAR_img/4669_34.png,,0,0,152D_09114_131313,20200827,20200908,train
7889_8,InSAR_img/7889_8.png,,0,0,142A_07606_131313,20180214,20180226,train
19673_2,InSAR_img/19673_2.png,,0,0,152D_08915_131313,20201225,20210118,train
5870_2,InSAR_img/5870_2.png,,0,0,087D_07004_060904,20160521,20160720,train
6521_6,InSAR_img/6521_6.png,,0,0,087D_07004_060904,20190611,20190629,train
16594_3,InSAR_img/16594_3.png,,0,0,109D_05390_141615,20181103,20181115,train
10142_2,InSAR_img/10142_2.png,,0,0,155D_02579_100800,20190722,20190815,test
10255,InSAR_img/10255.png,mask/10255.png,3,1,155D_02579_100800,20200112,20200217,train
3583_6,InSAR_img/3583_6.png,,0,0,174A_09133_131313,20191120,20191202,test
11447_5,InSAR_img/11447_5.png,,0,0,014A_07688_131313,20200207,20200314,train
6680_0,InSAR_img/6680_0.png,,0,0,087D_07004_060904,20191214,20191220,train
3914_18,InSAR_img/3914_18.png,,0,0,174A_09133_131313,20210407,20210501,test
18747_2,InSAR_img/18747_2.png,,0,0,115D_04999_131313,20170927,20180302,train
789_1,InSAR_img/789_1.png,mask/789_1.png,2,1,128D_09016_110500,20170107,20170320,test
18789_3,InSAR_img/18789_3.png,,0,0,115D_04999_131313,20180302,20180326,train
